idActor|name
idActor00212|BD Wong
idActor00213|Babak Karimi
idActor00214|Bae Doona
idActor00215|Bahar Pars
idActor00216|Bahare Seddiqi
idActor00217|Bajram Severdzan
idActor00218|Baki Davrak
idActor00219|Barbara Bel Geddes
idActor00220|Barbara Hershey
idActor00221|Barbara Stanwyck
idActor00222|Baris Bagci
idActor00223|Barkhad Abdi
idActor00224|Barkhad Abdirahman
idActor00225|Barry Bostwick
idActor00226|Barry Cook
idActor00227|Barry Fitzgerald
idActor00228|Barry Humphries
idActor00229|Barry Keoghan
idActor00230|Barry Pepper
idActor00231|Basil Rathbone
idActor00232|Beau Billingslea
idActor00233|Bee Vang
idActor00234|Belén Rueda
idActor00235|Ben Affleck
idActor00236|Ben Burtt
idActor00237|Ben Foster
idActor00238|Ben Gazzara
idActor00239|Ben Hardy
idActor00240|Ben Johnson
idActor00241|Ben Kingsley
idActor00242|Ben Stiller
idActor00243|Ben Whishaw
idActor00244|Benedict Cumberbatch
idActor00245|Bengt Ekerot
idActor00246|Benicio Del Toro
idActor00247|Benjamin Bratt
idActor00248|Benno Fürmann
idActor00249|Benoît Régent
idActor00250|Bernard-Pierre Donnadieu
idActor00251|Bernhard Wicki
idActor00252|Bertil Guve
idActor00253|Bette Davis
idActor00254|Beverly D'Angelo
idActor00255|Bibi Andersson
idActor00256|Biff McGuire
idActor00257|Bill Bernstein
idActor00258|Bill Hader
idActor00259|Bill McKinney
idActor00260|Bill Murray
idActor00261|Bill Nighy
idActor00262|Bill Nunn
idActor00263|Bill Paxton
idActor00264|Bill Pullman
idActor00265|Bill Sage
idActor00266|Billy Bob Thornton
idActor00267|Billy Connolly
idActor00268|Billy Crudup
idActor00269|Billy Crystal
idActor00270|Billy Dee Williams
idActor00271|Billy Zane
idActor00272|Birgitta Pettersson
idActor00273|Birgitta Valberg
idActor00274|Birol Ünel
idActor00275|Björk
idActor00276|Bo Hopkins
idActor00277|Bob Balaban
idActor00278|Bob Geldof
idActor00279|Bob Gunton
idActor00280|Bob Hoskins
idActor00281|Bob Odenkirk
idActor00282|Bob Peterson
idActor00283|Bobby Cannavale
idActor00284|Bodil Rosing
idActor00285|Boluwatife Treasure Bankole
idActor00286|Boman Irani
idActor00287|Bonnie Bedelia
idActor00288|Bonnie Hunt
idActor00289|Bora Todorovic
idActor00290|Boris Karloff
idActor00291|Boyd Holbrook
idActor00292|Boyd Kirkland
idActor00293|Brad Davis
idActor00294|Brad Dourif
idActor00295|Brad Garrett
idActor00296|Brad Pitt
idActor00297|Bradley Cooper
idActor00298|Bradley Whitford
